#Points, #Query Vertices,MSEC,STDEV
163840,10,6.00E-04,0.103521913
163840,20,2.05E-04,3.30E-04
163840,40,1.65E-04,4.52E-04
163840,80,2.26E-04,0.042660129
163840,160,1.21E-04,5.17E-04
163840,320,1.37E-04,0.001316489
163840,640,1.17E-04,9.88E-04
163840,1280,1.24E-04,0.001733234
163840,2560,1.35E-04,0.003339031
163840,5120,1.52E-04,0.005955271
163840,10240,1.78E-04,0.010321287
163840,20480,2.14E-04,0.018519965
163840,40960,2.13E-04,0.016040362
163840,81920,2.84E-04,0.016907353
163840,163840,3.59E-04,0.020287445
163840,327680,4.81E-04,0.034569765
163840,655360,7.90E-04,0.067871617
163840,1310720,0.001271232,0.137939802
